"学名","汉语名","英名","西班牙名","记录数","百分比"
"Ciconia boyciana","东方白鹳","Oriental Stork","Cigüeña oriental","4","0.10"
"Nucifraga hemispila",NULL,NULL,NULL,"4","0.10"
"Emberiza elegans","黄喉鹀","Yellow-throated Bunting","Escribano elegante","4","0.10"
"Trochalopteron subunicolor","纯色噪鹛","Scaly Laughingthrush","Charlatán modesto","4","0.10"
"Aegypius monachus","秃鹫","Cinereous Vulture","Buitre negro","4","0.10"
"Halcyon smyrnensis","白胸翡翠","White-throated Kingfisher","Alción de Esmirna","4","0.10"
"Haliaeetus albicilla","白尾海雕","White-tailed Eagle","Pigargo europeo","4","0.10"
"Garrulax ocellatus",NULL,NULL,NULL,"4","0.10"
"Aethopyga nipalensis","绿喉太阳鸟","Green-tailed Sunbird","Suimanga coliverde","4","0.10"
"Treron apicauda","针尾绿鸠","Pin-tailed Green Pigeon","Vinago rabudo","4","0.10"
"Ducula badia","山皇鸠","Mountain Imperial Pigeon","Dúcula dorsicastaña","4","0.10"
"Heterophasia annectans",NULL,NULL,NULL,"4","0.10"
"Zoothera dixoni","长尾地鸫","Long-tailed Thrush","Zorzal de Dixon","4","0.10"
"Tetrastes sewerzowi","斑尾榛鸡","Chinese Grouse","Grévol chino","4","0.10"
"Surniculus lugubris","乌鹃","Square-tailed Drongo-Cuckoo","Cuclillo drongo colitruncado","4","0.10"
"Sturnia malabarica","灰头椋鸟","Chestnut-tailed Starling","Estornino malabar","4","0.10"
"Dendrocopos atratus","纹胸啄木鸟","Stripe-breasted Woodpecker","Pico estriado","4","0.10"
"Strix leptogrammica","褐林鸮","Brown Wood Owl","Cárabo oriental","4","0.10"
"Fulvetta vinipectus","白眉雀鹛","White-browed Fulvetta","Fulveta cejiblanca","4","0.10"
"Anthracoceros albirostris","冠斑犀鸟","Oriental Pied Hornbill","Cálao cariblanco","4","0.10"
"Spatula clypeata","琵嘴鸭","Northern Shoveler","Cuchara común","4","0.10"
"Anthus roseatus","粉红胸鹨","Rosy Pipit","Bisbita rosado","4","0.10"
"Sitta magna","巨䴓","Giant Nuthatch","Trepador gigante","4","0.10"
"Anthus rufulus","田鹨","Paddyfield Pipit","Bisbita oriental","4","0.10"
"Elachura formosa","丽星鹩鹛","Spotted Elachura","Ratina moteada","3","0.07"
"Dryobates cathpharius","赤胸啄木鸟","Crimson-breasted Woodpecker","Pico pechirrojo occidental","3","0.07"
"Gracula religiosa","鹩哥","Common Hill Myna","Miná religioso","3","0.07"
"Zosterops erythropleurus","红胁绣眼鸟","Chestnut-flanked White-eye","Anteojitos flanquirrufo","3","0.07"
"Harpactes erythrocephalus","红头咬鹃","Red-headed Trogon","Trogón cabecirrojo","3","0.07"
"Dicaeum cruentatum","朱背啄花鸟","Scarlet-backed Flowerpecker","Picaflores dorsirrojo","3","0.07"
"Dendrocopos major","大斑啄木鸟","Great Spotted Woodpecker","Pico picapinos","3","0.07"
"Hypogramma hypogrammicum",NULL,NULL,NULL,"3","0.07"
"Lanius cristatus","红尾伯劳","Brown Shrike","Alcaudón pardo","3","0.07"
"Leptoptilos javanicus","秃鹳","Lesser Adjutant","Marabú menor","3","0.07"
"Lophophorus impejanus","棕尾虹雉","Himalayan Monal","Monal colirrojo","3","0.07"
"Milvus migrans","黑鸢","Black Kite","Milano negro","3","0.07"
"Columba livia","原鸽","Rock Dove","Paloma bravía","3","0.07"
"Acridotheres albocinctus","白领八哥","Collared Myna","Miná acollarado","3","0.07"
"Vanellus indicus","肉垂麦鸡","Red-wattled Lapwing","Avefría india","3","0.07"
"Circus cyaneus","白尾鹞","Hen Harrier","Aguilucho pálido","3","0.07"
"Cinclus pallasii","褐河乌","Brown Dipper","Mirlo acuático pardo","3","0.07"
"Chrysococcyx xanthorhynchus","紫金鹃","Violet Cuckoo","Cuclillo violeta","3","0.07"
"Otus sunia","红角鸮","Oriental Scops Owl","Autillo oriental","3","0.07"
"Phylloscopus fuscatus","褐柳莺","Dusky Warbler","Mosquitero sombrío","3","0.07"
"Phylloscopus maculipennis","灰喉柳莺","Ashy-throated Warbler","Mosquitero gorjigrís","3","0.07"
"Caprimulgus macrurus","长尾夜鹰","Large-tailed Nightjar","Chotacabras macruro","3","0.07"
"Plegadis falcinellus","彩鹮","Glossy Ibis","Morito común","3","0.07"
"Cacomantis sonneratii","栗斑杜鹃","Banded Bay Cuckoo","Cuco bayo","3","0.07"
"Prunella collaris","领岩鹨","Alpine Accentor","Acentor alpino","3","0.07"
"Psittacula eupatria","亚历山大鹦鹉","Alexandrine Parakeet","Cotorra alejandrina","3","0.07"
"Psittacula finschii","灰头鹦鹉","Grey-headed Parakeet","Cotorra de Finsch","3","0.07"
"Psittacula roseata","花头鹦鹉","Blossom-headed Parakeet","Cotorra carirrosa","3","0.07"
"Aquila nipalensis","草原雕","Steppe Eagle","Águila esteparia","3","0.07"
"Spilornis cheela","蛇雕","Crested Serpent Eagle","Culebrera chiíla","3","0.07"
"Yuhina torqueola",NULL,NULL,NULL,"3","0.07"
"Spodiopsar sericeus","丝光椋鸟","Red-billed Starling","Estornino piquirrojo","3","0.07"
"Stachyridopsis ruficeps",NULL,NULL,NULL,"3","0.07"
"Anas zonorhyncha","斑嘴鸭","Eastern Spot-billed Duck","Ánade picopinto chino","3","0.07"
"Anas poecilorhyncha","印缅斑嘴鸭","Indian Spot-billed Duck","Ánade picopinto indio","3","0.07"
"Acridotheres cristatellus","八哥","Crested Myna","Miná crestado","3","0.07"
"Anas crecca","绿翅鸭","Eurasian Teal","Cerceta común","3","0.07"
"Tragopan satyra","红胸角雉","Satyr Tragopan","Tragopán sátiro","3","0.07"
"Zoothera marginata","长嘴地鸫","Dark-sided Thrush","Zorzal flanquioscuro","3","0.07"
"Aegithina lafresnayei","大绿雀鹎","Great Iora","Iora grande","3","0.07"
"Aegithalos iouschistos","棕额长尾山雀","Rufous-fronted Bushtit","Mito frentirrufo","3","0.07"
"Falco peregrinus","游隼","Peregrine Falcon","Halcón peregrino","3","0.07"
"Falco severus","猛隼","Oriental Hobby","Alcotán filipino","3","0.07"
"Ficedula albicilla","红喉姬鹟","Taiga Flycatcher","Papamoscas de la taiga","3","0.07"
"Enicurus leschenaulti","白冠燕尾","White-crowned Forktail","Torrentero coroniblanco","3","0.07"
"Fulvetta manipurensis","褐头雀鹛","Manipur Fulvetta","Fulveta de Manipur","3","0.07"
"Turdus hortulorum","灰背鸫","Grey-backed Thrush","Zorzal dorsigrís","2","0.05"
"Paradoxornis guttaticollis","点胸鸦雀","Spot-breasted Parrotbill","Picoloro pechipinto","2","0.05"
"Chleuasicus atrosuperciliaris","黑眉鸦雀","Pale-billed Parrotbill","Picoloro cejinegro","2","0.05"
"Mareca falcata","罗纹鸭","Falcated Duck","Cerceta de Alfanjes","2","0.05"
"Macropygia unchall","斑尾鹃鸠","Barred Cuckoo-Dove","Tórtola cuco unchal","2","0.05"
"Pericrocotus brevirostris","短嘴山椒鸟","Short-billed Minivet","Minivet piquicorto","2","0.05"
"Pericrocotus cantonensis","小灰山椒鸟","Swinhoe's Minivet","Minivet de Swinhoe","2","0.05"
"Pericrocotus ethologus","长尾山椒鸟","Long-tailed Minivet","Minivet colilargo","2","0.05"
"Carpodacus verreauxii","点翅朱雀","Sharpe's Rosefinch","Camachuelo de Sharpe","2","0.05"
"Phoenicurus hodgsoni","黑喉红尾鸲","Hodgson's Redstart","Colirrojo de Hodgson","2","0.05"
"Phoenicurus schisticeps","白喉红尾鸲","White-throated Redstart","Colirrojo gorjiblanco","2","0.05"
"Phyllergates cuculatus",NULL,NULL,NULL,"2","0.05"
"Turdus kessleri","棕背黑头鸫","White-backed Thrush","Zorzal de Kessler","2","0.05"
"Phylloscopus plumbeitarsus","双斑绿柳莺","Two-barred Warbler","Mosquitero patigrís","2","0.05"
"Pitta nipalensis",NULL,NULL,NULL,"2","0.05"
"Pitta sordida","绿胸八色鸫","Hooded Pitta","Pita encapuchada occidental","2","0.05"
"Pnoepyga pusilla","小鳞胸鹪鹛","Pygmy Cupwing","Ratina pigmea","2","0.05"
"Cairina moschata","疣鼻栖鸭","Muscovy Duck","Pato criollo","2","0.05"
"Turdus mupinensis","宝兴歌鸫","Chinese Thrush","Zorzal chino","2","0.05"
"Pomatorhinus superciliaris","剑嘴鹛","Slender-billed Scimitar Babbler","Cimitarra picofina","2","0.05"
"Prinia hodgsonii","灰胸山鹪莺","Grey-breasted Prinia","Prinia de Hodgson","2","0.05"
"Prinia superciliaris","黑喉山鹪莺","Hill Prinia","Prinia montana","2","0.05"
"Procarduelis nipalensis","暗胸朱雀","Dark-breasted Rosefinch","Camachuelo oscuro","2","0.05"
"Gampsorhynchus torquatus","领鵙鹛","Collared Babbler","Timalí acollarado","2","0.05"
"Prunella immaculata","栗背岩鹨","Maroon-backed Accentor","Acentor inmaculado","2","0.05"
"Cutia nipalensis","斑胁姬鹛","Himalayan Cutia","Cutia nepalesa","2","0.05"
"Falco tinnunculus","红隼","Common Kestrel","Cernícalo vulgar","2","0.05"
"Geopelia striata","斑姬地鸠","Zebra Dove","Tortolita estriada","2","0.05"
"Lerwa lerwa","雪鹑","Snow Partridge","Perdiz lerwa","2","0.05"
"Bambusicola thoracicus","灰胸竹鸡","Chinese Bamboo Partridge","Bambusícola china","2","0.05"
"Pteruthius intermedius","栗额鵙鹛","Clicking Shrike-babbler","Vireo alcaudón frenticastaño","2","0.05"
"Aythya baeri","青头潜鸭","Baer's Pochard","Porrón de Baer","2","0.05"
"Ficedula hyperythra","棕胸蓝姬鹟","Snowy-browed Flycatcher","Papamoscas cejiníveo","2","0.05"
"Aquila heliaca","白肩雕","Eastern Imperial Eagle","Águila imperial oriental","2","0.05"
"Aquila fasciata","白腹隼雕","Bonelli's Eagle","Águila perdicera","2","0.05"
"Sasia ochracea","白眉棕啄木鸟","White-browed Piculet","Carpinterito cejiblanco","2","0.05"
"Saxicola maurus","黑喉石䳭","Siberian Stonechat","Tarabilla Siberiana","2","0.05"
"Anthus sylvanus","山鹨","Upland Pipit","Bisbita del Himalaya","2","0.05"
"Sinosuthora brunnea","褐翅鸦雀","Brown-winged Parrotbill","Picoloro alipardo","2","0.05"
"Jynx torquilla","蚁䴕","Eurasian Wryneck","Torcecuello euroasiático","2","0.05"
"Sitta himalayensis","白尾䴓","White-tailed Nuthatch","Trepador del Himalaya","2","0.05"
"Enicurus scouleri","小燕尾","Little Forktail","Torrentero chico","2","0.05"
"Anthocincla phayrei",NULL,NULL,NULL,"2","0.05"
"Stachyridopsis chrysaea",NULL,NULL,NULL,"2","0.05"
"Enicurus maculatus","斑背燕尾","Spotted Forktail","Torrentero moteado","2","0.05"
"Hydrophasianus chirurgus","水雉","Pheasant-tailed Jacana","Jacana colilarga","2","0.05"
"Staphida castaniceps","栗耳凤鹛","Striated Yuhina","Yuhina estriada","2","0.05"
"Sylviparus modestus","黄眉林雀","Yellow-browed Tit","Herrerillo modesto","2","0.05"
"Dendrocopos darjellensis","黄颈啄木鸟","Darjeeling Woodpecker","Pico de Darjeeling","2","0.05"
"Tarsiger chrysaeus","金色林鸲","Golden Bush Robin","Ruiseñor dorado","2","0.05"
"Tarsiger cyanurus","红胁蓝尾鸲","Red-flanked Bluetail","Ruiseñor coliazul","2","0.05"
"Alauda gulgula","小云雀","Oriental Skylark","Alondra oriental","2","0.05"
"Tephrodornis virgatus","钩嘴林鵙","Large Woodshrike","Ceniciento grande","2","0.05"
"Terpsiphone paradisi","印度寿带","Indian Paradise Flycatcher","Monarca del paraíso indio","2","0.05"
"Tesia cyaniventer","灰腹地莺","Grey-bellied Tesia","Tesia cejiamarilla","2","0.05"
"Tesia olivea","金冠地莺","Slaty-bellied Tesia","Tesia pizarrosa","2","0.05"
"Aix galericulata","鸳鸯","Mandarin Duck","Pato mandarín","2","0.05"
"Timalia pileata","红顶鹛","Chestnut-capped Babbler","Timalí capirotado","2","0.05"
"Heterophasia gracilis","灰奇鹛","Grey Sibia","Sibia gris","2","0.05"
"Agraphospiza rubescens","赤朱雀","Blanford's Rosefinch","Camachuelo de Blanford","2","0.05"
"Tyto longimembris","草鸮","Eastern Grass Owl","Lechuza patilarga","2","0.05"
"Treron curvirostra","厚嘴绿鸠","Thick-billed Green Pigeon","Vinago piquigrueso","2","0.05"
"Dicrurus annectens","鸦嘴卷尾","Crow-billed Drongo","Drongo picogordo","2","0.05"
"Treron sphenurus","楔尾绿鸠","Wedge-tailed Green Pigeon","Vinago rabocuña","2","0.05"
"Dicrurus hottentottus","发冠卷尾","Hair-crested Drongo","Drongo crestudo","2","0.05"
"Coracina melaschistos",NULL,NULL,NULL,"2","0.05"
"Coracina javensis","爪哇鹃鵙","Javan Cuckooshrike","Oruguero de Java","2","0.05"
"Columba hodgsonii","点斑林鸽","Speckled Wood Pigeon","Paloma de Hodgson","2","0.05"
"Coloeus dauuricus","达乌里寒鸦","Daurian Jackdaw","Grajilla oriental","2","0.05"
"Glareola lactea","灰燕鸻","Small Pratincole","Canastera chica","2","0.05"
"Vanellus vanellus","凤头麦鸡","Northern Lapwing","Avefría europea","2","0.05"
"Muscicapa sibirica","乌鹟","Dark-sided Flycatcher","Papamoscas siberiano","2","0.05"
"Corvus corone","小嘴乌鸦","Carrion Crow","Corneja negra","2","0.05"
"Nisaetus nipalensis","鹰雕","Mountain Hawk-Eagle","Águila montañesa","2","0.05"
"Metopidius indicus","铜翅水雉","Bronze-winged Jacana","Jacana bronceada","2","0.05"
"Melanochlora sultanea","冕雀","Sultan Tit","Carbonero sultán","2","0.05"
"Otus spilocephalus","黄嘴角鸮","Mountain Scops Owl","Autillo montano","2","0.05"
"Tetraophasis obscurus","红喉雉鹑","Verreaux's Monal-Partridge","Perdiz faisán gorjioscura","1","0.02"
"Dryocopus javensis","白腹黑啄木鸟","White-bellied Woodpecker","Picamaderos ventriblanco","1","0.02"
"Cochoa purpurea","紫宽嘴鸫","Purple Cochoa","Cochoa púrpura","1","0.02"
"Dendrocopos hyperythrus","棕腹啄木鸟","Rufous-bellied Woodpecker","Pico ventrirrufo","1","0.02"
"Psittiparus gularis","灰头鸦雀","Grey-headed Parrotbill","Picoloro cabecigrís","1","0.02"
"Cisticola juncidis","棕扇尾莺","Zitting Cisticola","Cistícola buitrón","1","0.02"
"Babax lanceolatus",NULL,NULL,NULL,"1","0.02"
"Zosterops simplex","暗绿绣眼鸟","Swinhoe's White-eye",NULL,"1","0.02"
"Larus fuscus","小黑背鸥","Lesser Black-backed Gull","Gaviota sombría","1","0.02"
"Pteruthius rufiventer","棕腹鵙鹛","Black-headed Shrike-babbler","Vireo alcaudón ventrirrufo","1","0.02"
"Pteruthius xanthochlorus","淡绿鵙鹛","Green Shrike-babbler","Vireo alcaudón verde","1","0.02"
"Ptyonoprogne concolor","纯色岩燕","Dusky Crag Martin","Avión oscuro","1","0.02"
"Gallinago gallinago","扇尾沙锥","Common Snipe","Agachadiza común","1","0.02"
"Aviceda jerdoni","褐冠鹃隼","Jerdon's Baza","Baza oriental","1","0.02"
"Lanius tigrinus","虎纹伯劳","Tiger Shrike","Alcaudón tigre","1","0.02"
"Ardea purpurea","草鹭","Purple Heron","Garza imperial","1","0.02"
"Ardea alba","大白鹭","Great Egret","Garceta grande","1","0.02"
"Megalurus palustris","沼泽大尾莺","Striated Grassbird","Yerbera palustre","1","0.02"
"Cyornis glaucicomans","中华仙鹟","Chinese Blue Flycatcher","Papamoscas chino","1","0.02"
"Napothera epilepidota","纹胸鹪鹛","Eyebrowed Wren-Babbler","Ratina cejuda","1","0.02"
"Aegithina viridissima","绿雀鹎","Green Iora","Iora verde","1","0.02"
"Pyrrhoplectes epauletta","金枕黑雀","Golden-naped Finch","Pinzón nuquigualdo","1","0.02"
"Pyrrhula erythaca","灰头灰雀","Grey-headed Bullfinch","Camachuelo cabecigrís","1","0.02"
"Rallina eurizonoides","白喉斑秧鸡","Slaty-legged Crake","Polluela de jungla","1","0.02"
"Aquila clanga",NULL,NULL,NULL,"1","0.02"
"Cyornis hainanus","海南蓝仙鹟","Hainan Blue Flycatcher","Papamoscas de Hainan","1","0.02"
"Accipiter nisus","雀鹰","Eurasian Sparrowhawk","Gavilán común","1","0.02"
"Ketupa nipalensis","林雕鸮","Spot-bellied Eagle-Owl","Búho nepalí","1","0.02"
"Riparia riparia","崖沙燕","Sand Martin","Avión zapador","1","0.02"
"Niltava davidi","棕腹大仙鹟","Fujian Niltava","Papamoscas de David","1","0.02"
"Aplonis panayensis","亚洲辉椋鸟","Asian Glossy Starling","Estornino bronceado","1","0.02"
"Cinnyris asiaticus","紫色花蜜鸟","Purple Sunbird","Suimanga asiático","1","0.02"
"Seicercus castaniceps",NULL,NULL,NULL,"1","0.02"
"Seicercus poliogenys",NULL,NULL,NULL,"1","0.02"
"Tringa ochropus","白腰草鹬","Green Sandpiper","Andarríos grande","1","0.02"
"Sinosuthora alphonsiana","灰喉鸦雀","Ashy-throated Parrotbill","Picoloro gorjigrís","1","0.02"
"Harpactes oreskios","橙胸咬鹃","Orange-breasted Trogon","Trogón pechinaranja","1","0.02"
"Haliastur indus","栗鸢","Brahminy Kite","Milano brahmán","1","0.02"
"Sitta formosa","丽䴓","Beautiful Nuthatch","Trepador hermoso","1","0.02"
"Cyornis unicolor","纯蓝仙鹟","Pale Blue Flycatcher","Papamoscas azulado","1","0.02"
"Halcyon pileata","蓝翡翠","Black-capped Kingfisher","Alción capirotado","1","0.02"
"Actinodura waldeni","纹胸斑翅鹛","Streak-throated Barwing","Sibia de Yunnan","1","0.02"
"Delichon dasypus","烟腹毛脚燕","Asian House Martin","Avión asiático","1","0.02"
"Anthus richardi","理氏鹨","Richard's Pipit","Bisbita de Richard","1","0.02"
"Ichthyaetus ichthyaetus","渔鸥","Pallas's Gull","Gavión cabecinegro","1","0.02"
"Spelaeornis troglodytoides","斑翅鹩鹛","Bar-winged Wren-Babbler","Ratina alibarrada","1","0.02"
"Delichon nipalense","黑喉毛脚燕","Nepal House Martin","Avión nepalí","1","0.02"
"Aethopyga christinae","叉尾太阳鸟","Fork-tailed Sunbird","Suimanga de Christina","1","0.02"
"Micropternus brachyurus","栗啄木鸟","Rufous Woodpecker","Carpintero rufo","1","0.02"
"Ficedula superciliaris","白眉蓝姬鹟","Ultramarine Flycatcher","Papamoscas ultramarino","1","0.02"
"Garrulus glandarius","松鸦","Eurasian Jay","Arrendajo euroasiático","1","0.02"
"Gallirallus striatus",NULL,NULL,NULL,"1","0.02"
"Cinclus cinclus","河乌","White-throated Dipper","Mirlo acuático europeo","1","0.02"
"Stachyridopsis rufifrons",NULL,NULL,NULL,"1","0.02"
"Oriolus xanthornus","黑头黄鹂","Black-hooded Oriole","Oropéndola encapuchada","1","0.02"
"Coracias affinis","棕胸佛法僧","Indochinese Roller","Carraca indochina","1","0.02"
"Anorrhinus austeni","白喉犀鸟","Austen's Brown Hornbill","Cálao pardo de Austen","1","0.02"
"Vanellus cinereus","灰头麦鸡","Grey-headed Lapwing","Avefría ceniza","1","0.02"
"Chloris sinica","金翅雀","Grey-capped Greenfinch","Verderón chino","1","0.02"
"Garrulax merulinus","斑胸噪鹛","Spot-breasted Laughingthrush","Charlatán pechipinto","1","0.02"
"Urocissa flavirostris","黄嘴蓝鹊","Yellow-billed Blue Magpie","Urraca piquigualda","1","0.02"
"Streptopelia tranquebarica","火斑鸠","Red Collared Dove","Tórtola cabecigrís","1","0.02"
"Ceyx erithaca","三趾翠鸟","Oriental Dwarf Kingfisher","Martín pigmeo oriental","1","0.02"
"Hirundo smithii","线尾燕","Wire-tailed Swallow","Golondrina colilarga","1","0.02"
"Pellorneum albiventre","白腹幽鹛","Spot-throated Babbler","Tordina golipinta","1","0.02"
"Ceryle rudis","斑鱼狗","Pied Kingfisher","Martín pescador pío","1","0.02"
"Pellorneum tickelli","棕胸雅鹛","Buff-breasted Babbler","Tordina de Tickell","1","0.02"
"Turdus obscurus","白眉鸫","Eyebrowed Thrush","Zorzal rojigrís","1","0.02"
"Hirundapus caudacutus","白喉针尾雨燕","White-throated Needletail","Vencejo mongol","1","0.02"
"Sturnus vulgaris","紫翅椋鸟","Common Starling","Estornino pinto","1","0.02"
"Certhia himalayana","高山旋木雀","Bar-tailed Treecreeper","Agateador del Himalaya","1","0.02"
"Cephalopyrus flammiceps","火冠雀","Fire-capped Tit","Pájaro moscón carirrojo","1","0.02"
"Luscinia cyane",NULL,NULL,NULL,"1","0.02"
"Carpodacus vinaceus","酒红朱雀","Vinaceous Rosefinch","Camachuelo vinoso","1","0.02"
"Hieraaetus pennatus","靴隼雕","Booted Eagle","Águila calzada","1","0.02"
"Carpodacus subhimachalus","红眉松雀","Crimson-browed Finch","Camachuelo cejirrojo","1","0.02"
"Luscinia calliope",NULL,NULL,NULL,"1","0.02"
"Carpodacus sibiricus","长尾雀","Siberian Long-tailed Rosefinch","Camachuelo colilargo","1","0.02"
"Suthora nipalensis","橙额鸦雀","Black-throated Parrotbill","Picoloro gorjinegro","1","0.02"
"Sylvia curruca",NULL,NULL,NULL,"1","0.02"
"Garrulax ruficollis",NULL,NULL,NULL,"1","0.02"
"Phylloscopus affinis","黄腹柳莺","Tickell's Leaf Warbler","Mosquitero de Tickell","1","0.02"
"Phylloscopus armandii","棕眉柳莺","Yellow-streaked Warbler","Mosquitero de David","1","0.02"
"Luscinia brunnea",NULL,NULL,NULL,"1","0.02"
"Turdus mandarinus","乌鸫","Chinese Blackbird","Mirlo mandarín","1","0.02"
"Phylloscopus humei","淡眉柳莺","Hume's Leaf Warbler","Mosquitero de Hume","1","0.02"
"Carpodacus puniceus","红胸朱雀","Red-fronted Rosefinch","Camachuelo frentirrojo","1","0.02"
"Erythrura prasina","长尾鹦雀","Pin-tailed Parrotfinch","Diamante colifino","1","0.02"
"Garrulax rufogularis",NULL,NULL,NULL,"1","0.02"
"Corvus splendens","家鸦","House Crow","Cuervo indio","1","0.02"
"Phylloscopus reguloides","西南冠纹柳莺","Blyth's Leaf Warbler","Mosquitero de Blyth","1","0.02"
"Phylloscopus subaffinis","棕腹柳莺","Buff-throated Warbler","Mosquitero gorjiclaro","1","0.02"
"Pica bottanensis","青藏喜鹊","Black-rumped Magpie","Urraca del himalaya","1","0.02"
"Carpodacus dubius","白眉朱雀","Chinese White-browed Rosefinch","Camachuelo chino","1","0.02"
"Eophona migratoria","黑尾蜡嘴雀","Chinese Grosbeak","Picogordo chino","1","0.02"
"Coturnix japonica","鹌鹑","Japanese Quail","Codorniz japonesa","1","0.02"
"Calliope tschebaiewi","白须黑胸歌鸲","Chinese Rubythroat","Ruiseñor pechinegro chino","1","0.02"
"Amandava amandava","红梅花雀","Red Avadavat","Bengalí rojo","1","0.02"
"Cuculus micropterus","四声杜鹃","Indian Cuckoo","Cuco alicorto","1","0.02"
"Grus vipio",NULL,NULL,NULL,"1","0.02"
"Eurystomus orientalis","三宝鸟","Oriental Dollarbird","Carraca oriental","1","0.02"
"Pluvialis fulva","金斑鸻","Pacific Golden Plover","Chorlito dorado siberiano","1","0.02"
"Pnoepyga albiventer","鳞胸鹪鹛","Scaly-breasted Cupwing","Ratina ventriblanca","1","0.02"
"Alcippe castaneceps",NULL,NULL,NULL,"1","0.02"
"Tadorna tadorna","翘鼻麻鸭","Common Shelduck","Tarro blanco","1","0.02"
"Podiceps nigricollis","黑颈䴙䴘","Black-necked Grebe","Zampullín cuellinegro","1","0.02"
"Poecile weigoldicus","川褐头山雀","Sichuan Tit","Carbonero de Sichuán","1","0.02"
"Emberiza lathami","凤头鹀","Crested Bunting","Escribano crestado","1","0.02"
"Cacomantis merulinus","八声杜鹃","Plaintive Cuckoo","Cuco plañidero","1","0.02"
"Pomatorhinus hypoleucos",NULL,NULL,NULL,"1","0.02"
"Buteo refectus","喜山鵟","Himalayan Buzzard","Busardo del Himalaya","1","0.02"
"Acrocephalus stentoreus","噪大苇莺","Clamorous Reed Warbler","Carricero estentóreo","1","0.02"
"Buteo buteo","欧亚鵟","Common Buzzard","Busardo ratonero","1","0.02"
"Merops philippinus","栗喉蜂虎","Blue-tailed Bee-eater","Abejaruco coliazul","1","0.02"
"Bucephala clangula","鹊鸭","Common Goldeneye","Porrón osculado","1","0.02"
"Porzana bicolor",NULL,NULL,NULL,"1","0.02"
"Porzana fusca",NULL,NULL,NULL,"1","0.02"
"Cholornis unicolor","褐鸦雀","Brown Parrotbill","Picoloro unicolor","1","0.02"
"Prinia inornata","纯色山鹪莺","Plain Prinia","Prinia sencilla","1","0.02"
"Moupinia poecilotis","宝兴鹛雀","Rufous-tailed Babbler","Timalí colirrufo","1","0.02"
"Oriolus chinensis","黑枕黄鹂","Black-naped Oriole","Oropéndola china","1","0.02"
"Muscicapa muttui","褐胸鹟","Brown-breasted Flycatcher","Papamoscas muttui","1","0.02"
"Oriolus tenuirostris","细嘴黄鹂","Slender-billed Oriole","Oropéndola picofina","1","0.02"
"Prunella strophiata","棕胸岩鹨","Rufous-breasted Accentor","Acentor pechirrufo","1","0.02"
"Tetraogallus tibetanus","藏雪鸡","Tibetan Snowcock","Perdigallo tibetano","1","0.02"
"Bombycilla japonica","小太平鸟","Japanese Waxwing","Ampelis japonés","1","0.02"
"Lonchura atricapilla","栗腹文鸟","Chestnut Munia","Capuchino castaño","1","0.02"
"Locustella davidi","北短翅蝗莺","Baikal Bush Warbler","Zarzalero de David","1","0.02"
"Blythipicus pyrrhotis","黄嘴栗啄木鸟","Bay Woodpecker","Pito orejirrojo","1","0.02"
"Leucosticte nemoricola","林岭雀","Plain Mountain Finch","Pinzón montano de Hodgson","1","0.02"
"Batrachostomus hodgsoni","黑顶蟆口鸱","Hodgson's Frogmouth","Podargo colilargo","1","0.02"
"Yuhina nigrimenta","黑颏凤鹛","Black-chinned Yuhina","Yuhina barbinegra","1","0.02"
